Matt 1:15 N- ----NSM- Ἐλιοὺδ Ἐλιοὺδ Ἐλιούδ Ἐλιούδ
Matt 1:15 C- -------- δὲ δὲ δέ δέ
Matt 1:15 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:15 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:15 N- ----ASM- Ἐλεάζαρ, Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
Matt 1:15 N- ----NSM- Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
Matt 1:15 C- -------- δὲ δὲ δέ δέ
Matt 1:15 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:15 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:15 N- ----ASM- Ματθάν, Ματθάν Ματθάν Ματθάν
Matt 1:15 N- ----NSM- Ματθὰν Ματθὰν Ματθάν Ματθάν
Matt 1:15 C- -------- δὲ δὲ δέ δέ
Matt 1:15 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:15 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:15 N- ----ASM- Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
Matt 1:16 N- ----NSM- Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
Matt 1:16 C- -------- δὲ δὲ δέ δέ
Matt 1:16 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:16 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:16 N- ----ASM- Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
Matt 1:16 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:16 N- ----ASM- ἄνδρα ἄνδρα ἄνδρα ἀνήρ
Matt 1:16 N- ----GSF- Μαρίας, Μαρίας Μαρίας Μαρία
Matt 1:16 P- -------- ἐξ ἐξ ἐκ ἐκ
Matt 1:16 RR ----GSF- ἧς ἧς ἧς ὅς
Matt 1:16 V- 3API-S-- ἐγεννήθη ἐγεννήθη ἐγεννήθη γεννάω
Matt 1:16 N- ----NSM- Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
Matt 1:16 RA ----NSM- ὁ ὁ ὁ ὁ
Matt 1:16 V- -PPPNSM- λεγόμενος λεγόμενος λεγόμενος λέγω
Matt 1:16 N- ----NSM- χριστός. χριστός Χριστός Χριστός
Matt 1:17 A- ----NPF- Πᾶσαι Πᾶσαι πᾶσαι πᾶς
Matt 1:17 C- -------- οὖν οὖν οὖν οὖν
Matt 1:17 RA ----NPF- αἱ αἱ αἱ ὁ
Matt 1:17 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
Matt 1:17 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
Matt 1:17 N- ----GSM- Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
Matt 1:17 P- -------- ἕως ἕως ἕως ἕως
Matt 1:17 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:17 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
Matt 1:17 A- ----NPF- δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
Matt 1:17 C- -------- καὶ καὶ καί καί
Matt 1:17 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
Matt 1:17 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:17 P- -------- ἕως ἕως ἕως ἕως
Matt 1:17 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:17 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
Matt 1:17 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
Matt 1:17 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
Matt 1:17 A- ----NPF- δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
Matt 1:17 C- -------- καὶ καὶ καί καί
Matt 1:17 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
Matt 1:17 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:17 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
Matt 1:17 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
Matt 1:17 P- -------- ἕως ἕως ἕως ἕως
Matt 1:17 RA ----GSM- τοῦ τοῦ τοῦ ὁ
Matt 1:17 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
Matt 1:17 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
Matt 1:17 A- ----NPF- δεκατέσσαρες. δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
Matt 1:18 RA ----GSM- Τοῦ Τοῦ τοῦ ὁ
Matt 1:18 C- -------- δὲ δὲ δέ δέ
Matt 1:18 N- ----GSM- ⸀Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
Matt 1:18 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
Matt 1:18 RA ----NSF- ἡ ἡ ἡ ὁ
Matt 1:18 N- ----NSF- ⸀γένεσις γένεσις γένεσις γένεσις
Matt 1:18 D- -------- οὕτως οὕτως οὕτω(ς) οὕτω(ς)
Matt 1:18 V- 3IAI-S-- ἦν. ἦν ἦν εἰμί
Matt 1:18 V- -APPGSF- ⸀μνηστευθείσης μνηστευθείσης μνηστευθείσης μνηστεύομαι
Matt 1:18 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:18 N- ----GSF- μητρὸς μητρὸς μητρός μήτηρ
Matt 1:18 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
Matt 1:18 N- ----GSF- Μαρίας Μαρίας Μαρίας Μαρία
Matt 1:18 RA ----DSM- τῷ τῷ τῷ ὁ
Matt 1:18 N- ----DSM- Ἰωσήφ, Ἰωσήφ Ἰωσήφ Ἰωσήφ
Matt 1:18 D- -------- πρὶν πρὶν πρίν πρίν
Matt 1:18 C- -------- ἢ ἢ ἤ ἤ
Matt 1:18 V- -AAN---- συνελθεῖν συνελθεῖν συνελθεῖν συνέρχομαι
Matt 1:18 RP ----APM- αὐτοὺς αὐτοὺς αὐτούς αὐτός
Matt 1:18 V- 3API-S-- εὑρέθη εὑρέθη εὑρέθη εὑρίσκω
Matt 1:18 P- -------- ἐν ἐν ἐν ἐν
Matt 1:18 N- ----DSF- γαστρὶ γαστρὶ γαστρί γαστήρ
Matt 1:18 V- -PAPNSF- ἔχουσα ἔχουσα ἔχουσα ἔχω
Matt 1:18 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:18 N- ----GSN- πνεύματος πνεύματος πνεύματος πνεῦμα
Matt 1:18 A- ----GSN- ἁγίου. ἁγίου ἁγίου ἅγιος
Matt 1:19 N- ----NSM- Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
Matt 1:19 C- -------- δὲ δὲ δέ δέ
Matt 1:19 RA ----NSM- ὁ ὁ ὁ ὁ
Matt 1:19 N- ----NSM- ἀνὴρ ἀνὴρ ἀνήρ ἀνήρ
Matt 1:19 RP ----GSF- αὐτῆς, αὐτῆς αὐτῆς αὐτός
Matt 1:19 A- ----NSM- δίκαιος δίκαιος δίκαιος δίκαιος
Matt 1:19 V- -PAPNSM- ὢν ὢν ὤν εἰμί
Matt 1:19 C- -------- καὶ καὶ καί καί
Matt 1:19 D- -------- μὴ μὴ μή μή
Matt 1:19 V- -PAPNSM- θέλων θέλων θέλων θέλω
Matt 1:19 RP ----ASF- αὐτὴν αὐτὴν αὐτήν αὐτός
Matt 1:19 V- -AAN---- ⸀δειγματίσαι, δειγματίσαι δειγματίσαι δειγματίζω
Matt 1:19 V- 3API-S-- ἐβουλήθη ἐβουλήθη ἐβουλήθη βούλομαι
Matt 1:19 D- -------- λάθρᾳ λάθρᾳ λάθρᾳ λάθρᾳ
Matt 1:19 V- -AAN---- ἀπολῦσαι ἀπολῦσαι ἀπολῦσαι ἀπολύω
Matt 1:19 RP ----ASF- αὐτήν. αὐτήν αὐτήν αὐτός
Matt 1:20 RD ----APN- ταῦτα ταῦτα ταῦτα οὗτος
Matt 1:20 C- -------- δὲ δὲ δέ δέ
Matt 1:20 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
Matt 1:20 V- -APPGSM- ἐνθυμηθέντος ἐνθυμηθέντος ἐνθυμηθέντος ἐνθυμέομαι
Matt 1:20 X- -------- ἰδοὺ ἰδοὺ ἰδού ἰδού
Matt 1:20 N- ----NSM- ἄγγελος ἄγγελος ἄγγελος ἄγγελος
Matt 1:20 N- ----GSM- κυρίου κυρίου κυρίου κύριος
Matt 1:20 P- -------- κατ’ κατ’ κατά κατά
Matt 1:20 N- ----ASN- ὄναρ ὄναρ ὄναρ ὄναρ
Matt 1:20 V- 3API-S-- ἐφάνη ἐφάνη ἐφάνη φαίνω
Matt 1:20 RP ----DSM- αὐτῷ αὐτῷ αὐτῷ αὐτός
